u,v,weight
张国荣,王家卫,2
张国荣,吴宇森,2
巩俐,张艺谋,2
汤姆·汉克斯,史蒂文·斯皮尔伯格,3
宫崎骏,岛本须美,2
宫崎骏,松田洋治,2
克里斯托弗·诺兰,安妮·海瑟薇,2
克里斯托弗·诺兰,约瑟夫·高登-莱维特,2
克里斯托弗·诺兰,汤姆·哈迪,2
克里斯托弗·诺兰,克里斯蒂安·贝尔,3
克里斯托弗·诺兰,迈克尔·凯恩,2
刘伟强,黄秋生,2
刘伟强,曾志伟,2
梁朝伟,王家卫,4
黄秋生,麦兆辉,2
曾志伟,麦兆辉,2
刘镇伟,周星驰,2
刘镇伟,吴孟达,2
周星驰,周星驰,2
周星驰,李力持,2
弗朗西斯·福特·科波拉,阿尔·帕西诺,3
弗朗西斯·福特·科波拉,黛安·基顿,2
克里斯·哥伦布,丹尼尔·雷德克里夫,2
克里斯·哥伦布,艾玛·沃森,2
克里斯·哥伦布,鲁伯特·格林特,2
丹尼尔·雷德克里夫,大卫·叶茨,3
艾玛·沃森,大卫·叶茨,3
鲁伯特·格林特,大卫·叶茨,3
彼得·杰克逊,伊利亚·伍德,3
彼得·杰克逊,西恩·奥斯汀,3
彼得·杰克逊,维果·莫腾森,2
彼得·杰克逊,奥兰多·布鲁姆,2
姜文,姜文,2
周润发,吴宇森,2
李安,郎雄,2
伊桑·霍克,理查德·林克莱特,3
毕克,王树忱,2
莉莉·沃卓斯基,基努·里维斯,3
莉莉·沃卓斯基,劳伦斯·菲什伯恩,3
莉莉·沃卓斯基,凯瑞-安·莫斯,3
莉莉·沃卓斯基,雨果·维文,3
基努·里维斯,拉娜·沃卓斯基,3
劳伦斯·菲什伯恩,拉娜·沃卓斯基,3
凯瑞-安·莫斯,拉娜·沃卓斯基,3
雨果·维文,拉娜·沃卓斯基,3
宋康昊,奉俊昊,2
大卫·芬奇,布拉德·皮特,3
海伦娜·伯翰·卡特,大卫·叶茨,2
马特·达蒙,保罗·格林格拉斯,2
昆汀·塔伦蒂诺,克里斯托弗·瓦尔兹,2
查理·卓别林,查理·卓别林,2
查理·卓别林,亨利·伯格曼,2
王家卫,林青霞,2
今敏,江守彻,2
今敏,饭塚昭三,2
理查德·林克莱特,朱莉·德尔佩,3
森淳一,桥本爱,2
森淳一,三浦贵大,2
森淳一,松冈茉优,2
森淳一,温水洋一,2
黑泽明,三船敏郎,2
黑泽明,志村乔,2
