,coef,std_err,t,pvalue
const,22.557899527963116,inf,0.0,1.0
M·奈特·沙马兰,0.006835785550047523,inf,0.0,1.0
万籁鸣,0.2470759346661895,inf,0.0,1.0
严定宪,0.02855538646769684,inf,0.0,1.0
中岛哲也,-0.031642144504897995,inf,-0.0,1.0
丹尼·博伊尔,-0.1158210722519854,inf,-0.0,1.0
乔·赖特,-0.15214950115451809,inf,-0.0,1.0
乔治·库克,-0.0011037824739363877,inf,-0.0,1.0
乔治·米勒,-0.0837916456587049,inf,-0.0,1.0
乔纳森·戴米,-0.04785049884717374,inf,-0.0,1.0
亚当·艾略特,0.17519364104451718,inf,0.0,1.0
今敏,0.10063419581048239,inf,0.0,1.0
伦尼·阿伯拉罕森,-0.0837916456590142,inf,-0.0,1.0
保罗·格林格拉斯,-0.048731608378725255,inf,-0.0,1.0
克林特·伊斯特伍德,0.1658210722529634,inf,0.0,1.0
克里斯·哥伦布,0.17392524942315646,inf,0.0,1.0
克里斯·威廉姆斯,0.004686284396103857,inf,0.0,1.0
克里斯·巴克,-0.14873160837860233,inf,-0.0,1.0
克里斯·桑德斯,-0.03847793005469269,inf,-0.0,1.0
克里斯·雷纳德,-0.058985286702954554,inf,-0.0,1.0
克里斯·韦奇,-0.08632842890104919,inf,-0.0,1.0
克里斯托夫·巴哈蒂,0.4410147132976423,inf,0.0,1.0
克里斯托弗·史密斯,-0.32480635895550236,inf,-0.0,1.0
克里斯托弗·诺兰,0.2539697840120416,inf,0.0,1.0
凯普·鲍尔斯,-0.06566615941651399,inf,-0.0,1.0
刘伟强,0.09038051748627593,inf,0.0,1.0
刘镇伟,0.041602119651586555,inf,0.0,1.0
加布里埃莱·穆奇诺,0.2546862843960156,inf,0.0,1.0
北野武,0.006835785549357149,inf,0.0,1.0
华森·波克彭,-0.15898528670295775,inf,-0.0,1.0
卡洛斯·沙尔丹哈,-0.08632842890100531,inf,-0.0,1.0
卡蒂亚·伦德,0.06367157109898067,inf,0.0,1.0
卢卡·瓜达尼诺,0.029879925441288258,inf,0.0,1.0
史蒂文·斯皮尔伯格,0.09856699923155698,inf,0.0,1.0
吉恩·凯利,-0.05722306763925333,inf,-0.0,1.0
吕克·贝松,0.47265685780220523,inf,0.0,1.0
吴宇森,-0.26493996272073295,inf,-0.0,1.0
周星驰,0.04101471329743411,inf,0.0,1.0
唐·霍尔,0.004686284396154261,inf,0.0,1.0
土井裕泰,-0.14277693236115185,inf,-0.0,1.0
埃里克·布雷斯,0.041014713297579775,inf,0.0,1.0
埃里克·托莱达诺,0.24443260607174577,inf,0.0,1.0
大卫·叶茨,-0.08919443043902398,inf,-0.0,1.0
大卫·芬奇,0.01601471329680315,inf,0.0,1.0
大卫·西尔弗曼,-0.1775755114510531,inf,-0.0,1.0
大森贵弘,-0.01113478785627664,inf,-0.0,1.0
奉俊昊,0.038865212143727845,inf,0.0,1.0
奥利维埃·纳卡什,0.24443260607194306,inf,0.0,1.0
奥里奥尔·保罗,0.023044139891323923,inf,0.0,1.0
姜文,0.15611928516506257,inf,0.0,1.0
姜炯哲,-0.011134787856194706,inf,-0.0,1.0
威廉·惠勒,-0.10761034972909389,inf,-0.0,1.0
娜丁·拉巴基,0.3367157109903882,inf,0.0,1.0
宁浩,-0.24531371560411486,inf,-0.0,1.0
安德鲁·尼科尔,-0.12949264335160746,inf,-0.0,1.0
安德鲁·斯坦顿,0.4683578554956802,inf,0.0,1.0
宝拉·柯特莱西,0.5708946387382703,inf,0.0,1.0
宫崎骏,0.07692922377023281,inf,0.0,1.0
尼克·卡萨维蒂,-0.3589852867022587,inf,-0.0,1.0
山姆·伍德,-0.0011037824745110392,inf,-0.0,1.0
岩井俊二,-0.02050735664893516,inf,-0.0,1.0
巴勃罗·贝格尔,0.3708946387382799,inf,0.0,1.0
巴瑞·莱文森,-0.26835785549613256,inf,-0.0,1.0
布莱恩·辛格,-0.16328428900968595,inf,-0.0,1.0
延尚昊,-0.17695586010880326,inf,-0.0,1.0
弗兰克·德拉邦特,0.38974632167556145,inf,0.0,1.0
弗朗西斯·福特·科波拉,0.16784147937529914,inf,0.0,1.0
弗洛里安·亨克尔·冯·多纳斯马尔克,0.35468628439577365,inf,0.0,1.0
张艺谋,0.11240317947740941,inf,0.0,1.0
彼得·威尔,0.3692389650269252,inf,0.0,1.0
彼得·拉姆齐,-0.05442809633668588,inf,-0.0,1.0
彼得·杰克逊,0.32734314219803107,inf,0.0,1.0
彼得·法雷里,0.13671571099050972,inf,0.0,1.0
彼特·道格特,0.01605344150580912,inf,0.0,1.0
徐克,-0.33417892774765523,inf,-0.0,1.0
徐景达,0.02855538647482847,inf,0.0,1.0
忻钰坤,-0.09062743120742534,inf,-0.0,1.0
戈尔·维宾斯基,-0.0658210722530631,inf,-0.0,1.0
托尼·凯耶,0.18886521214372842,inf,0.0,1.0
托德·菲利普斯,-0.05644850345972863,inf,-0.0,1.0
托马斯·温特伯格,0.29570099769335023,inf,0.0,1.0
押井守,0.07949264335107681,inf,0.0,1.0
拉吉库马尔·希拉尼,0.37519364104513286,inf,0.0,1.0
拉娜·沃卓斯基,-0.004134393158876204,inf,-0.0,1.0
拉斯·霍尔斯道姆,0.5751936410442269,inf,0.0,1.0
拜伦·霍华德,0.26367157109832906,inf,0.0,1.0
文牧野,0.2367157109903335,inf,0.0,1.0
斯坦利·多南,-0.05722306763935503,inf,-0.0,1.0
斯坦利·库布里克,-0.20507356648614072,inf,-0.0,1.0
斯蒂芬·卓博斯基,-0.17012007455877765,inf,-0.0,1.0
新海诚,-0.27695586010867146,inf,-0.0,1.0
昆汀·塔伦蒂诺,-0.05214950115339212,inf,-0.0,1.0
是枝裕和,0.040574158530916726,inf,0.0,1.0
普特鹏·普罗萨卡·那·萨克那卡林,-0.15898528670286094,inf,-0.0,1.0
朗·霍华德,0.22050735664857113,inf,0.0,1.0
本·斯蒂勒,-0.19746321675744682,inf,-0.0,1.0
朱塞佩·托纳多雷,0.21510457186794607,inf,0.0,1.0
朴勋政,0.10253678324268556,inf,0.0,1.0
朴赞郁,-0.2769558601085833,inf,-0.0,1.0
李·昂克里奇,0.08202942659340806,inf,0.0,1.0
李力持,-0.13417892774738815,inf,-0.0,1.0
李安,0.08871029930829888,inf,0.0,1.0
李惠民,-0.24101471329743784,inf,-0.0,1.0
李濬益,0.5025367832427925,inf,0.0,1.0
李焕京,0.10253678324298932,inf,0.0,1.0
杨亚洲,0.28632842890076216,inf,0.0,1.0
杨宇硕,0.402536783242434,inf,0.0,1.0
杨德昌,0.08291053612600052,inf,0.0,1.0
杰拉德·布什,0.2636715710979889,inf,0.0,1.0
杰茜·尼尔森,0.12050735664861989,inf,0.0,1.0
查理·卓别林,-0.040908167944926355,inf,-0.0,1.0
柯克·德·米科,-0.05898528670284264,inf,-0.0,1.0
格斯·范·桑特,0.09316421444993139,inf,0.0,1.0
梅尔·吉布森,-0.04873160837869328,inf,-0.0,1.0
森淳一,0.21279046156706483,inf,0.0,1.0
比利·怀尔德,0.4197327924690786,inf,0.0,1.0
汉内斯·赫尔姆,0.1162083543414898,inf,0.0,1.0
泷田洋二郎,0.06835785549495377,inf,0.0,1.0
洛芙琳·坦丹,-0.11582107225292615,inf,-0.0,1.0
涅提·蒂瓦里,0.2230441398913232,inf,0.0,1.0
温子仁,-0.15898528670229672,inf,-0.0,1.0
热拉尔·乌里,-0.21874513758460257,inf,-0.0,1.0
爱德华·兹威克,-0.14531371560430706,inf,-0.0,1.0
特瑞·乔治,0.041014713297733874,inf,0.0,1.0
王家卫,-0.1119626247118024,inf,-0.0,1.0
王晶,-0.1273431421980895,inf,-0.0,1.0
王树忱,0.1130093016159276,inf,0.0,1.0
珍妮弗·李,-0.148731608378613,inf,-0.0,1.0
理查德·林克莱特,0.007681379963825563,inf,0.0,1.0
理查德·柯蒂斯,-0.18164214450490412,inf,-0.0,1.0
